source_type,source_id,name,series,series_source_id,genre,rarity,image_url,about,favorites,processed_at,id
mal,161471,Itsuki Nakano,5-toubun no Hanayome,38101,Anime,3,https://cdn.myanimelist.net/images/characters/5/437010.jpg,,7844,,
mal,161472,Nino Nakano,5-toubun no Hanayome,38101,Anime,3,https://cdn.myanimelist.net/images/characters/7/437011.jpg,,15036,,
mal,161470,Ichika Nakano,5-toubun no Hanayome,38101,Anime,3,https://cdn.myanimelist.net/images/characters/12/436646.jpg,,3832,,
mal,161469,Yotsuba Nakano,5-toubun no Hanayome,38101,Anime,3,https://cdn.myanimelist.net/images/characters/8/437009.jpg,,5879,,
mal,160603,Miku Nakano,5-toubun no Hanayome,38101,Anime,3,https://cdn.myanimelist.net/images/characters/15/507743.jpg,,21838,,
mal,173763,History Teacher,5-toubun no Hanayome,38101,Anime,1,https://cdn.myanimelist.net/images/characters/3/389462.jpg,,1,,
mal,173758,Maruo Nakano,5-toubun no Hanayome,38101,Anime,1,https://cdn.myanimelist.net/images/characters/8/433653.jpg,,28,,
mal,173759,Otori,5-toubun no Hanayome,38101,Anime,1,https://cdn.myanimelist.net/images/characters/11/389458.jpg,,1,,
mal,173760,PE Teacher,5-toubun no Hanayome,38101,Anime,1,https://cdn.myanimelist.net/images/characters/14/389459.jpg,,1,,
mal,166779,Raiha Uesugi,5-toubun no Hanayome,38101,Anime,1,https://cdn.myanimelist.net/images/characters/8/384122.jpg,,175,,
mal,173762,Yamada,5-toubun no Hanayome,38101,Anime,1,https://cdn.myanimelist.net/images/characters/9/389461.jpg,,2,,
mal,217523,Ebata,5-toubun no Hanayome ∬,39783,Anime,1,https://cdn.myanimelist.net/images/characters/9/492104.jpg,,1,,
mal,191900,Revival's Manager,5-toubun no Hanayome ∬,39783,Anime,1,https://cdn.myanimelist.net/images/characters/12/472104.jpg,,3,,
mal,214385,Takebayashi,5-toubun no Hanayome ∬,39783,Anime,1,https://cdn.myanimelist.net/images/characters/8/495850.jpg,,2,,
mal,169383,Yuusuke Takeda,5-toubun no Hanayome ∬,39783,Anime,1,https://cdn.myanimelist.net/images/characters/9/579454.jpg,,3,,
mal,217526,Tsubaki,5-toubun no Hanayome ∬,39783,Anime,1,https://cdn.myanimelist.net/images/characters/9/492107.jpg,,1,,
mal,185061,Rena Nakano,5-toubun no Hanayome Movie,48548,Anime,1,https://cdn.myanimelist.net/images/characters/9/495863.jpg,,12,,
mal,55843,Hime Haruno,Acchi Kocchi,12291,Anime,1,https://cdn.myanimelist.net/images/characters/11/161545.jpg,,86,,
mal,55847,Sakaki Inui,Acchi Kocchi,12291,Anime,1,https://cdn.myanimelist.net/images/characters/10/171001.jpg,,28,,
mal,55845,Mayoi Katase,Acchi Kocchi,12291,Anime,1,https://cdn.myanimelist.net/images/characters/15/170999.jpg,,152,,
mal,55839,Tsumiki Miniwa,Acchi Kocchi,12291,Anime,2,https://cdn.myanimelist.net/images/characters/5/161551.jpg,,1774,,
mal,55841,Io Otonashi,Acchi Kocchi,12291,Anime,2,https://cdn.myanimelist.net/images/characters/9/161507.jpg,,515,,
mal,60503,Miiko Inui,Acchi Kocchi,12291,Anime,1,https://cdn.myanimelist.net/images/characters/5/161563.jpg,,17,,
mal,60507,Kana Miyama,Acchi Kocchi,12291,Anime,1,https://cdn.myanimelist.net/images/characters/6/161567.jpg,,4,,
mal,60509,Kyouya Saibara,Acchi Kocchi,12291,Anime,1,https://cdn.myanimelist.net/images/characters/2/161569.jpg,,7,,
mal,60505,Saki Sakimori,Acchi Kocchi,12291,Anime,1,https://cdn.myanimelist.net/images/characters/11/161565.jpg,,12,,
mal,60511,Kikue Sakuragawa,Acchi Kocchi,12291,Anime,1,https://cdn.myanimelist.net/images/characters/10/161571.jpg,,8,,
mal,150916,Reina Aharen,Aharen-san wa Hakarenai,49520,Anime,2,https://cdn.myanimelist.net/images/characters/7/370529.jpg,,676,,
mal,150918, Raidou,Aharen-san wa Hakarenai,49520,Anime,1,https://cdn.myanimelist.net/images/characters/10/342208.jpg,,185,,
mal,186395,Eru Aharen,Aharen-san wa Hakarenai,49520,Anime,1,https://cdn.myanimelist.net/images/characters/5/474769.jpg,,22,,
mal,186390,Futaba,Aharen-san wa Hakarenai,49520,Anime,1,https://cdn.myanimelist.net/images/characters/2/597246.jpg,,4,,
mal,184667,Miyahira-sensei,Aharen-san wa Hakarenai,49520,Anime,1,https://cdn.myanimelist.net/images/characters/6/476738.jpg,,4,,
mal,184663,Mitsuki Ooshiro,Aharen-san wa Hakarenai,49520,Anime,1,https://cdn.myanimelist.net/images/characters/13/459768.jpg,,19,,
mal,206293,Younger Sister Raidou,Aharen-san wa Hakarenai,49520,Anime,1,https://cdn.myanimelist.net/images/characters/11/465090.jpg,,7,,
mal,209888,Raidou's Mother,Aharen-san wa Hakarenai,49520,Anime,1,https://cdn.myanimelist.net/images/characters/16/476743.jpg,,1,,
mal,184665,Hanako Satou,Aharen-san wa Hakarenai,49520,Anime,1,https://cdn.myanimelist.net/images/characters/6/462996.jpg,,6,,
mal,204012,Toubaru-sensei,Aharen-san wa Hakarenai,49520,Anime,1,https://cdn.myanimelist.net/images/characters/3/476739.jpg,,37,,
mal,209025,Ai Aharen,Aharen-san wa Hakarenai Season 2,59466,Anime,1,https://cdn.myanimelist.net/images/characters/15/594322.jpg,,1,,
mal,184666,Riku Tamanaha,Aharen-san wa Hakarenai Season 2,59466,Anime,1,https://cdn.myanimelist.net/images/characters/4/573186.jpg,,20,,
mal,187749,Yumiella Dolkness,Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,54837,Anime,2,https://cdn.myanimelist.net/images/characters/11/554375.jpg,,541,,
mal,187757,Adolf,Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,54837,Anime,1,https://cdn.myanimelist.net/images/characters/4/539693.jpg,,1,,
mal,187756,Alicia Ehnleit,Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,54837,Anime,1,https://cdn.myanimelist.net/images/characters/16/521711.jpg,,5,,
mal,234463,Eleanora Hillrose,Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,54837,Anime,1,https://cdn.myanimelist.net/images/characters/11/521715.jpg,,19,,
mal,245784,Maou,Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,54837,Anime,1,https://cdn.myanimelist.net/images/characters/5/543515.jpg,,3,,
mal,187751,Rita,Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,54837,Anime,1,https://cdn.myanimelist.net/images/characters/14/540268.jpg,,2,,
mal,245459,Sara,Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,54837,Anime,1,https://cdn.myanimelist.net/images/characters/5/543076.jpg,,1,,
mal,22370,Yuri Nakamura,Angel Beats!,6547,Anime,3,https://cdn.myanimelist.net/images/characters/7/119951.jpg,,3194,,
mal,22369,Kanade Tachibana,Angel Beats!,6547,Anime,3,https://cdn.myanimelist.net/images/characters/10/289337.jpg,,14181,,
mal,24508, Fujimaki,Angel Beats!,6547,Anime,1,https://cdn.myanimelist.net/images/characters/14/85508.jpg,,10,,
mal,24503,Hideki Hinata,Angel Beats!,6547,Anime,2,https://cdn.myanimelist.net/images/characters/7/87904.jpg,,1248,,
mal,24513,Hisako,Angel Beats!,6547,Anime,1,https://cdn.myanimelist.net/images/characters/2/98688.jpg,,34,,
mal,38508,Hitomi,Angel Beats!,6547,Anime,1,https://cdn.myanimelist.net/images/characters/9/105844.jpg,,3,,
mal,33498, Igarashi,Angel Beats!,6547,Anime,1,https://cdn.myanimelist.net/images/characters/9/93932.jpg,,2,,
mal,24516,Miyuki Irie,Angel Beats!,6547,Anime,1,https://cdn.myanimelist.net/images/characters/7/95171.jpg,,18,,
mal,24512,Masami Iwasawa,Angel Beats!,6547,Anime,2,https://cdn.myanimelist.net/images/characters/12/117224.jpg,,1675,,
mal,24510,Godan Matsushita,Angel Beats!,6547,Anime,1,https://cdn.myanimelist.net/images/characters/9/95169.jpg,,9,,
mal,24505, Noda,Angel Beats!,6547,Anime,1,https://cdn.myanimelist.net/images/characters/10/85250.jpg,,114,,
mal,144213,Old Teacher,Angel Beats!,6547,Anime,1,https://cdn.myanimelist.net/images/characters/15/326909.jpg,,1,,
mal,24511, Ooyama,Angel Beats!,6547,Anime,1,https://cdn.myanimelist.net/images/characters/3/85574.jpg,,34,,
mal,32965,Hatsune Otonashi,Angel Beats!,6547,Anime,1,https://cdn.myanimelist.net/images/characters/12/383376.jpg,,18,,
mal,33065, Saitou,Angel Beats!,6547,Anime,1,https://cdn.myanimelist.net/images/characters/10/89658.jpg,,1,,
mal,24517,Shiori Sekine,Angel Beats!,6547,Anime,1,https://cdn.myanimelist.net/images/characters/3/121577.jpg,,12,,
mal,24506, Shiina,Angel Beats!,6547,Anime,2,https://cdn.myanimelist.net/images/characters/5/96113.jpg,,572,,
mal,24504, Takamatsu,Angel Beats!,6547,Anime,1,https://cdn.myanimelist.net/images/characters/11/85509.jpg,,45,,
mal,32480, Takeyama,Angel Beats!,6547,Anime,1,https://cdn.myanimelist.net/images/characters/5/92196.jpg,,17,,
mal,24515,Yui,Angel Beats!,6547,Anime,3,https://cdn.myanimelist.net/images/characters/11/150391.jpg,,3111,,
mal,24507, Yusa,Angel Beats!,6547,Anime,1,https://cdn.myanimelist.net/images/characters/12/97507.jpg,,36,,
mal,91277,Danshi A,Angel Beats! Another Epilogue,10067,Anime,1,https://cdn.myanimelist.net/images/characters/6/219219.jpg,,2,,
mal,158575,Hizume Arima,Anima Yell!,37206,Anime,1,https://cdn.myanimelist.net/images/characters/2/349447.jpg,,15,,
mal,158574,Kohane Hatoya,Anima Yell!,37206,Anime,1,https://cdn.myanimelist.net/images/characters/6/349442.jpg,,35,,
mal,158576,Uki Sawatari,Anima Yell!,37206,Anime,1,https://cdn.myanimelist.net/images/characters/11/349446.jpg,,18,,
mal,158577,Kotetsu Tatejima,Anima Yell!,37206,Anime,1,https://cdn.myanimelist.net/images/characters/7/349445.jpg,,17,,
mal,162663,Kana Ushiku,Anima Yell!,37206,Anime,1,https://cdn.myanimelist.net/images/characters/16/359787.jpg,,10,,
mal,165355,Basket Senpai,Anima Yell!,37206,Anime,1,https://cdn.myanimelist.net/images/characters/10/365648.jpg,,1,,
mal,165004, Inukai,Anima Yell!,37206,Anime,1,https://cdn.myanimelist.net/images/characters/13/365649.jpg,,1,,
